Date & Time,Temperature,Clouds,Humidity,Barometer,Wind,Wind Direction
"Sunday, 12 July 2015, 06:00 — 12:00",27 / 23 °C,Drizzle. Partly sunny,92%,1003 mbar,7 km/h,E
"Sunday, 12 July 2015, 12:00 — 18:00",30 / 28 °C,Broken clouds,81%,1002 mbar,8 km/h,ESE
"Sunday, 12 July 2015, 18:00 — 00:00",29 / 25 °C,Passing clouds,83%,1002 mbar,8 km/h,NE
"Monday, 13 July 2015, 00:00 — 06:00",28 / 25 °C,Passing clouds,91%,1002 mbar,6 km/h,E
"Monday, 13 July 2015, 06:00 — 12:00",30 / 27 °C,Mostly cloudy,76%,1004 mbar,11 km/h,NNE
"Monday, 13 July 2015, 12:00 — 18:00",30 / 28 °C,Broken clouds,80%,1002 mbar,8 km/h,E
"Monday, 13 July 2015, 18:00 — 00:00",27 / 26 °C,Passing clouds,85%,1002 mbar,6 km/h,ESE
"Tuesday, 14 July 2015, 00:00 — 06:00",26 / 26 °C,Passing clouds,94%,1001 mbar,7 km/h,ESE
"Tuesday, 14 July 2015, 06:00 — 12:00",32 / 27 °C,Broken clouds,81%,1002 mbar,6 km/h,SSW
"Tuesday, 14 July 2015, 12:00 — 18:00",34 / 33 °C,Scattered clouds,67%,999 mbar,3 km/h,ENE
"Tuesday, 14 July 2015, 18:00 — 00:00",33 / 30 °C,Passing clouds,74%,998 mbar,3 km/h,SE
"Wednesday, 15 July 2015, 00:00 — 06:00",30 / 28 °C,Passing clouds,80%,997 mbar,3 km/h,SSE
"Wednesday, 15 July 2015, 06:00 — 12:00",37 / 30 °C,Clear,69%,996 mbar,10 km/h,SW
"Wednesday, 15 July 2015, 12:00 — 18:00",39 / 38 °C,Scattered clouds,53%,995 mbar,12 km/h,WSW
"Wednesday, 15 July 2015, 18:00 — 00:00",38 / 33 °C,Passing clouds,61%,994 mbar,10 km/h,SW
"Thursday, 16 July 2015, 00:00 — 06:00",33 / 31 °C,Passing clouds,72%,992 mbar,2 km/h,SW
"Thursday, 16 July 2015, 06:00 — 12:00",38 / 30 °C,Scattered clouds,69%,994 mbar,14 km/h,WSW
"Thursday, 16 July 2015, 12:00 — 18:00",41 / 37 °C,Scattered clouds,58%,993 mbar,14 km/h,S
"Thursday, 16 July 2015, 18:00 — 00:00",36 / 29 °C,Thunderstorms. Partly cloudy,65%,995 mbar,15 km/h,S
"Friday, 17 July 2015, 00:00 — 06:00",25 / 24 °C,Thunderstorms. Mostly cloudy,97%,998 mbar,18 km/h,E
"Friday, 17 July 2015, 06:00 — 12:00",28 / 25 °C,Broken clouds,83%,999 mbar,12 km/h,E
"Friday, 17 July 2015, 12:00 — 18:00",31 / 29 °C,Scattered clouds,69%,998 mbar,14 km/h,E
"Friday, 17 July 2015, 18:00 — 00:00",30 / 28 °C,Partly cloudy,74%,999 mbar,9 km/h,ENE
"Saturday, 18 July 2015, 00:00 — 06:00",28 / 26 °C,Partly cloudy,87%,999 mbar,13 km/h,E
"Saturday, 18 July 2015, 06:00 — 12:00",26 / 24 °C,Thunderstorms. Mostly cloudy,98%,1001 mbar,11 km/h,E
"Saturday, 18 July 2015, 12:00 — 18:00",30 / 25 °C,Thundershowers. Mostly cloudy,85%,999 mbar,10 km/h,E
"Saturday, 18 July 2015, 18:00 — 00:00",30 / 27 °C,Passing clouds,81%,999 mbar,8 km/h,SSE
"Sunday, 19 July 2015, 00:00 — 06:00",27 / 26 °C,Partly cloudy,91%,999 mbar,9 km/h,E
"Sunday, 19 July 2015, 06:00 — 12:00",33 / 31 °C,Scattered clouds,63%,1000 mbar,10 km/h,SE
"Sunday, 19 July 2015, 12:00 — 18:00",36 / 33 °C,Scattered clouds,60%,998 mbar,10 km/h,SSE
"Sunday, 19 July 2015, 18:00 — 00:00",33 / 30 °C,Passing clouds,72%,998 mbar,9 km/h,SE
"Monday, 20 July 2015, 00:00 — 06:00",30 / 25 °C,Thunderstorms. Mostly cloudy,82%,999 mbar,12 km/h,ESE
"Monday, 20 July 2015, 06:00 — 12:00",29 / 25 °C,Thunderstorms. Broken clouds,91%,1000 mbar,7 km/h,ESE
"Monday, 20 July 2015, 12:00 — 18:00",32 / 29 °C,Passing clouds,68%,999 mbar,11 km/h,SE
"Monday, 20 July 2015, 18:00 — 00:00",31 / 29 °C,Thundershowers. Passing clouds,77%,1000 mbar,10 km/h,SE
"Tuesday, 21 July 2015, 00:00 — 06:00",29 / 27 °C,Partly cloudy,86%,1001 mbar,8 km/h,ESE
"Tuesday, 21 July 2015, 06:00 — 12:00",34 / 29 °C,Broken clouds,74%,1003 mbar,12 km/h,SE
"Tuesday, 21 July 2015, 12:00 — 18:00",32 / 29 °C,Scattered clouds,81%,1002 mbar,17 km/h,N
"Tuesday, 21 July 2015, 18:00 — 00:00",29 / 27 °C,Passing clouds,77%,1001 mbar,4 km/h,ENE
"Wednesday, 22 July 2015, 00:00 — 06:00",27 / 26 °C,Passing clouds,83%,1003 mbar,7 km/h,NE
"Wednesday, 22 July 2015, 06:00 — 12:00",30 / 26 °C,Fog,86%,1005 mbar,12 km/h,E
"Wednesday, 22 July 2015, 12:00 — 18:00",31 / 26 °C,Thundershowers. Broken clouds,82%,1002 mbar,7 km/h,E
"Wednesday, 22 July 2015, 18:00 — 00:00",31 / 28 °C,Passing clouds,79%,1002 mbar,8 km/h,SSE
"Thursday, 23 July 2015, 00:00 — 06:00",28 / 26 °C,Passing clouds,92%,1003 mbar,7 km/h,ESE
"Thursday, 23 July 2015, 06:00 — 12:00",33 / 28 °C,Fog,76%,1005 mbar,13 km/h,ESE
"Thursday, 23 July 2015, 12:00 — 18:00",34 / 27 °C,Thunderstorms. More clouds than sun,78%,1002 mbar,12 km/h,ESE
"Thursday, 23 July 2015, 18:00 — 00:00",27 / 27 °C,Passing clouds,88%,1003 mbar,4 km/h,E
"Friday, 24 July 2015, 00:00 — 06:00",27 / 26 °C,Thunderstorms. Partly cloudy,92%,1003 mbar,8 km/h,ESE
"Friday, 24 July 2015, 06:00 — 12:00",32 / 26 °C,Broken clouds,83%,1004 mbar,9 km/h,E
"Friday, 24 July 2015, 12:00 — 18:00",34 / 28 °C,Thundershowers. Broken clouds,76%,1002 mbar,11 km/h,SE
"Friday, 24 July 2015, 18:00 — 00:00",28 / 27 °C,Partly cloudy,82%,1002 mbar,8 km/h,SE
"Saturday, 25 July 2015, 00:00 — 06:00",27 / 27 °C,Partly cloudy,84%,1002 mbar,5 km/h,E
"Saturday, 25 July 2015, 06:00 — 12:00",33 / 27 °C,Scattered clouds,62%,1002 mbar,6 km/h,SSE
"Saturday, 25 July 2015, 12:00 — 18:00",35 / 31 °C,Scattered clouds,68%,999 mbar,9 km/h,ESE
"Saturday, 25 July 2015, 18:00 — 00:00",31 / 28 °C,Partly cloudy,84%,999 mbar,4 km/h,SW
"Sunday, 26 July 2015, 00:00 — 06:00",28 / 24 °C,Partly cloudy,90%,1000 mbar,10 km/h,S
"Sunday, 26 July 2015, 06:00 — 12:00",31 / 24 °C,Scattered clouds,90%,1002 mbar,10 km/h,NE
"Sunday, 26 July 2015, 12:00 — 18:00",33 / 31 °C,Scattered clouds,72%,1000 mbar,17 km/h,ENE
"Sunday, 26 July 2015, 18:00 — 00:00",32 / 29 °C,Passing clouds,77%,1001 mbar,11 km/h,NNE
"Monday, 27 July 2015, 00:00 — 06:00",29 / 28 °C,Partly cloudy,86%,1001 mbar,9 km/h,E
"Monday, 27 July 2015, 06:00 — 12:00",33 / 32 °C,Scattered clouds,63%,1003 mbar,17 km/h,ESE
"Monday, 27 July 2015, 12:00 — 18:00",35 / 34 °C,Scattered clouds,61%,1000 mbar,14 km/h,E
"Monday, 27 July 2015, 18:00 — 00:00",34 / 30 °C,Passing clouds,70%,1001 mbar,9 km/h,SE
"Tuesday, 28 July 2015, 00:00 — 06:00",30 / 28 °C,Passing clouds,85%,1001 mbar,9 km/h,E
"Tuesday, 28 July 2015, 06:00 — 12:00",33 / 29 °C,Scattered clouds,73%,1002 mbar,16 km/h,E
"Tuesday, 28 July 2015, 12:00 — 18:00",34 / 33 °C,Scattered clouds,58%,1000 mbar,18 km/h,SE
"Tuesday, 28 July 2015, 18:00 — 00:00",33 / 29 °C,Passing clouds,67%,1001 mbar,11 km/h,ESE
"Wednesday, 29 July 2015, 00:00 — 06:00",29 / 28 °C,Passing clouds,76%,1000 mbar,8 km/h,ENE
"Wednesday, 29 July 2015, 06:00 — 12:00",33 / 31 °C,Scattered clouds,62%,1000 mbar,14 km/h,ESE
"Wednesday, 29 July 2015, 12:00 — 18:00",34 / 34 °C,Passing clouds,57%,998 mbar,18 km/h,SE
"Wednesday, 29 July 2015, 18:00 — 00:00",33 / 29 °C,Passing clouds,70%,999 mbar,10 km/h,SSE
"Thursday, 30 July 2015, 00:00 — 06:00",29 / 27 °C,Passing clouds,80%,999 mbar,7 km/h,ESE
"Thursday, 30 July 2015, 06:00 — 12:00",32 / 28 °C,Scattered clouds,67%,1000 mbar,15 km/h,ESE
"Thursday, 30 July 2015, 12:00 — 18:00",34 / 32 °C,Scattered clouds,62%,998 mbar,16 km/h,ESE
"Thursday, 30 July 2015, 18:00 — 00:00",32 / 29 °C,Thundershowers. Passing clouds,73%,998 mbar,10 km/h,ESE
"Friday, 31 July 2015, 00:00 — 06:00",29 / 26 °C,Passing clouds,80%,998 mbar,13 km/h,ESE
"Friday, 31 July 2015, 06:00 — 12:00",30 / 29 °C,Thunderstorms. Broken clouds,77%,1000 mbar,19 km/h,ESE
"Friday, 31 July 2015, 12:00 — 18:00",31 / 28 °C,Thunderstorms. Broken clouds,76%,998 mbar,20 km/h,ESE
"Friday, 31 July 2015, 18:00 — 00:00",28 / 27 °C,Passing clouds,86%,999 mbar,12 km/h,SE
"Saturday, 1 August 2015, 00:00 — 06:00",27 / 26 °C,Passing clouds,91%,999 mbar,12 km/h,SE
"Saturday, 1 August 2015, 06:00 — 12:00",29 / 26 °C,Thunderstorms. Broken clouds,88%,1001 mbar,19 km/h,SE
"Saturday, 1 August 2015, 12:00 — 18:00",30 / 28 °C,Broken clouds,80%,1001 mbar,21 km/h,SE
"Saturday, 1 August 2015, 18:00 — 00:00",27 / 26 °C,Partly cloudy,95%,1003 mbar,16 km/h,SE
"Sunday, 2 August 2015, 00:00 — 06:00",26 / 25 °C,Rain. Mostly cloudy,97%,1003 mbar,15 km/h,SE
"Sunday, 2 August 2015, 06:00 — 12:00",28 / 26 °C,Broken clouds,86%,1005 mbar,18 km/h,SE
"Sunday, 2 August 2015, 12:00 — 18:00",31 / 28 °C,Broken clouds,79%,1004 mbar,18 km/h,SE
"Sunday, 2 August 2015, 18:00 — 00:00",29 / 27 °C,Passing clouds,87%,1004 mbar,11 km/h,SE
"Monday, 3 August 2015, 00:00 — 06:00",26 / 25 °C,Passing clouds,93%,1003 mbar,10 km/h,ESE
"Monday, 3 August 2015, 06:00 — 12:00",31 / 26 °C,Scattered clouds,81%,1004 mbar,10 km/h,SE
"Monday, 3 August 2015, 12:00 — 18:00",33 / 30 °C,Partly sunny,69%,1003 mbar,13 km/h,SE
"Monday, 3 August 2015, 18:00 — 00:00",30 / 28 °C,Passing clouds,77%,1003 mbar,6 km/h,E
"Tuesday, 4 August 2015, 00:00 — 06:00",27 / 26 °C,Passing clouds,85%,1002 mbar,3 km/h,E
"Tuesday, 4 August 2015, 06:00 — 12:00",32 / 27 °C,Scattered clouds,79%,1002 mbar,10 km/h,ESE
"Tuesday, 4 August 2015, 12:00 — 18:00",35 / 32 °C,Scattered clouds,64%,1000 mbar,9 km/h,SE
"Tuesday, 4 August 2015, 18:00 — 00:00",34 / 30 °C,Passing clouds,77%,1000 mbar,6 km/h,SSE
"Wednesday, 5 August 2015, 00:00 — 06:00",29 / 27 °C,Passing clouds,87%,999 mbar,5 km/h,SSE
"Wednesday, 5 August 2015, 06:00 — 12:00",34 / 27 °C,Partly sunny,78%,1001 mbar,10 km/h,SE
"Wednesday, 5 August 2015, 12:00 — 18:00",35 / 30 °C,Broken clouds,73%,999 mbar,11 km/h,SE
"Wednesday, 5 August 2015, 18:00 — 00:00",30 / 29 °C,Passing clouds,89%,999 mbar,8 km/h,S
"Thursday, 6 August 2015, 00:00 — 06:00",29 / 28 °C,Passing clouds,89%,998 mbar,8 km/h,S
"Thursday, 6 August 2015, 06:00 — 12:00",33 / 28 °C,Scattered clouds,77%,889 mbar,8 km/h,SE
"Thursday, 6 August 2015, 12:00 — 18:00",36 / 32 °C,Thunderstorms. Scattered clouds,66%,998 mbar,7 km/h,E
"Thursday, 6 August 2015, 18:00 — 00:00",34 / 30 °C,Passing clouds,76%,999 mbar,8 km/h,SE
"Friday, 7 August 2015, 00:00 — 06:00",30 / 29 °C,Thunderstorms. Partly cloudy,88%,999 mbar,6 km/h,S
"Friday, 7 August 2015, 06:00 — 12:00",32 / 28 °C,Broken clouds,81%,1000 mbar,9 km/h,ESE
"Friday, 7 August 2015, 12:00 — 18:00",33 / 32 °C,Broken clouds,70%,1000 mbar,13 km/h,ESE
"Friday, 7 August 2015, 18:00 — 00:00",31 / 28 °C,Passing clouds,86%,1001 mbar,13 km/h,SE
"Saturday, 8 August 2015, 00:00 — 06:00",28 / 27 °C,Passing clouds,91%,1001 mbar,12 km/h,SSE
"Saturday, 8 August 2015, 06:00 — 12:00",33 / 30 °C,Broken clouds,74%,1003 mbar,10 km/h,SE
"Saturday, 8 August 2015, 12:00 — 18:00",34 / 32 °C,Scattered clouds,71%,1001 mbar,15 km/h,E
"Saturday, 8 August 2015, 18:00 — 00:00",31 / 28 °C,Partly cloudy,86%,1002 mbar,15 km/h,ESE
"Sunday, 9 August 2015, 00:00 — 06:00",28 / 27 °C,Partly cloudy,92%,1001 mbar,11 km/h,SSE
"Sunday, 9 August 2015, 06:00 — 12:00",30 / 27 °C,Fog,88%,1002 mbar,14 km/h,ESE
"Sunday, 9 August 2015, 12:00 — 18:00",34 / 21 °C,Scattered clouds,73%,1000 mbar,9 km/h,ESE
"Sunday, 9 August 2015, 18:00 — 00:00",32 / 29 °C,Passing clouds,80%,750 mbar,8 km/h,ESE
"Monday, 10 August 2015, 00:00 — 06:00",29 / 27 °C,Partly cloudy,89%,1000 mbar,7 km/h,SE
"Monday, 10 August 2015, 06:00 — 12:00",33 / 31 °C,Scattered clouds,78%,1002 mbar,9 km/h,E
"Monday, 10 August 2015, 12:00 — 18:00",35 / 32 °C,Broken clouds,69%,1001 mbar,11 km/h,E
"Monday, 10 August 2015, 18:00 — 00:00",32 / 31 °C,Passing clouds,76%,1002 mbar,7 km/h,E
"Tuesday, 11 August 2015, 00:00 — 06:00",31 / 28 °C,Passing clouds,89%,1002 mbar,3 km/h,SSE
"Tuesday, 11 August 2015, 06:00 — 12:00",37 / 28 °C,Scattered clouds,73%,1004 mbar,6 km/h,SE
"Tuesday, 11 August 2015, 12:00 — 18:00",35 / 29 °C,Broken clouds,71%,1002 mbar,12 km/h,SE
"Tuesday, 11 August 2015, 18:00 — 00:00",31 / 28 °C,Partly cloudy,73%,1004 mbar,11 km/h,SSE
"Wednesday, 12 August 2015, 00:00 — 06:00",28 / 27 °C,Passing clouds,86%,1005 mbar,12 km/h,SE
"Wednesday, 12 August 2015, 06:00 — 12:00",30 / 27 °C,Thunderstorms. Mostly cloudy,80%,1008 mbar,12 km/h,ESE
"Wednesday, 12 August 2015, 12:00 — 18:00",32 / 30 °C,Scattered clouds,66%,1005 mbar,11 km/h,E
"Wednesday, 12 August 2015, 18:00 — 00:00",30 / 29 °C,Passing clouds,80%,1004 mbar,8 km/h,ENE
"Thursday, 13 August 2015, 00:00 — 06:00",28 / 28 °C,Passing clouds,89%,1004 mbar,6 km/h,E
"Thursday, 13 August 2015, 06:00 — 12:00",33 / 28 °C,Scattered clouds,81%,1005 mbar,7 km/h,ESE
"Thursday, 13 August 2015, 12:00 — 18:00",36 / 33 °C,Scattered clouds,62%,1003 mbar,7 km/h,ESE
"Thursday, 13 August 2015, 18:00 — 00:00",33 / 30 °C,Passing clouds,75%,1003 mbar,9 km/h,SSE
"Friday, 14 August 2015, 00:00 — 06:00",30 / 28 °C,Passing clouds,83%,1003 mbar,5 km/h,SSE
"Friday, 14 August 2015, 06:00 — 12:00",35 / 28 °C,Scattered clouds,71%,1004 mbar,10 km/h,SE
"Friday, 14 August 2015, 12:00 — 18:00",35 / 31 °C,Thunderstorms. Broken clouds,63%,1002 mbar,10 km/h,SSE
"Friday, 14 August 2015, 18:00 — 00:00",32 / 29 °C,Passing clouds,76%,1002 mbar,8 km/h,SE
"Saturday, 15 August 2015, 00:00 — 06:00",29 / 28 °C,Partly cloudy,86%,1003 mbar,7 km/h,SE
"Saturday, 15 August 2015, 06:00 — 12:00",29 / 29 °C,Fog,89%,1004 mbar,7 km/h,SE
"Saturday, 15 August 2015, 12:00 — 18:00",36 / 34 °C,Broken clouds,59%,1002 mbar,8 km/h,SSE
"Saturday, 15 August 2015, 18:00 — 00:00",33 / 28 °C,Thundershowers. Partly cloudy,82%,1003 mbar,10 km/h,W
"Sunday, 16 August 2015, 00:00 — 06:00",28 / 26 °C,Passing clouds,84%,1004 mbar,6 km/h,NE
"Sunday, 16 August 2015, 06:00 — 12:00",33 / 26 °C,Scattered clouds,71%,1006 mbar,5 km/h,E
"Sunday, 16 August 2015, 12:00 — 18:00",36 / 33 °C,Thundershowers. Broken clouds,58%,1004 mbar,6 km/h,WNW
"Sunday, 16 August 2015, 18:00 — 00:00",33 / 30 °C,Passing clouds,76%,1003 mbar,6 km/h,SE
"Monday, 17 August 2015, 00:00 — 06:00",30 / 29 °C,Passing clouds,84%,1003 mbar,4 km/h,S
"Monday, 17 August 2015, 06:00 — 12:00",36 / 29 °C,Scattered clouds,70%,1004 mbar,2 km/h,NNE
"Monday, 17 August 2015, 12:00 — 18:00",38 / 34 °C,Scattered clouds,53%,1002 mbar,4 km/h,ESE
"Monday, 17 August 2015, 18:00 — 00:00",34 / 31 °C,Passing clouds,76%,1002 mbar,8 km/h,ESE
"Tuesday, 18 August 2015, 00:00 — 06:00",31 / 28 °C,Thundershowers. Passing clouds,88%,1002 mbar,6 km/h,SSE
"Tuesday, 18 August 2015, 06:00 — 12:00",33 / 25 °C,Passing clouds,73%,1004 mbar,12 km/h,ESE
"Tuesday, 18 August 2015, 12:00 — 18:00",33 / 27 °C,Scattered clouds,65%,1003 mbar,13 km/h,WSW
"Tuesday, 18 August 2015, 18:00 — 00:00",30 / 27 °C,Passing clouds,75%,1003 mbar,7 km/h,SE
"Wednesday, 19 August 2015, 00:00 — 06:00",27 / 27 °C,Passing clouds,84%,1002 mbar,8 km/h,SSE
"Wednesday, 19 August 2015, 06:00 — 12:00",35 / 32 °C,Scattered clouds,61%,1004 mbar,8 km/h,W
"Wednesday, 19 August 2015, 12:00 — 18:00",36 / 31 °C,Thunderstorms. Broken clouds,65%,1003 mbar,9 km/h,SSE
"Wednesday, 19 August 2015, 18:00 — 00:00",32 / 29 °C,Passing clouds,78%,1002 mbar,8 km/h,SSW
"Thursday, 20 August 2015, 00:00 — 06:00",29 / 27 °C,Passing clouds,88%,1001 mbar,3 km/h,SE
"Thursday, 20 August 2015, 06:00 — 12:00",35 / 28 °C,Scattered clouds,74%,1002 mbar,9 km/h,WSW
"Thursday, 20 August 2015, 12:00 — 18:00",36 / 34 °C,Scattered clouds,61%,1001 mbar,12 km/h,S
"Thursday, 20 August 2015, 18:00 — 00:00",33 / 30 °C,Thundershowers. Partly cloudy,73%,1001 mbar,9 km/h,SSW
"Friday, 21 August 2015, 00:00 — 06:00",30 / 27 °C,Partly cloudy,78%,1001 mbar,9 km/h,N
"Friday, 21 August 2015, 06:00 — 12:00",33 / 26 °C,Scattered clouds,75%,1003 mbar,8 km/h,SE
"Friday, 21 August 2015, 12:00 — 18:00",34 / 24 °C,Thunderstorms. Mostly cloudy,89%,1002 mbar,20 km/h,WSW
"Friday, 21 August 2015, 18:00 — 00:00",24 / 23 °C,Passing clouds,96%,1003 mbar,10 km/h,E
"Saturday, 22 August 2015, 00:00 — 06:00",23 / 23 °C,Passing clouds,94%,1002 mbar,3 km/h,E
"Saturday, 22 August 2015, 06:00 — 12:00",31 / 23 °C,Scattered clouds,83%,1003 mbar,7 km/h,SE
"Saturday, 22 August 2015, 12:00 — 18:00",33 / 31 °C,Scattered clouds,65%,1001 mbar,5 km/h,SE
"Saturday, 22 August 2015, 18:00 — 00:00",31 / 28 °C,Clear,77%,1001 mbar,7 km/h,SE
"Sunday, 23 August 2015, 00:00 — 06:00",28 / 26 °C,Passing clouds,87%,1001 mbar,6 km/h,SSE
"Sunday, 23 August 2015, 06:00 — 12:00",33 / 32 °C,Scattered clouds,67%,1003 mbar,11 km/h,S
"Sunday, 23 August 2015, 12:00 — 18:00",31 / 28 °C,Scattered clouds,75%,1002 mbar,7 km/h,S
"Sunday, 23 August 2015, 18:00 — 00:00",29 / 26 °C,Partly cloudy,77%,1002 mbar,9 km/h,SW
"Monday, 24 August 2015, 00:00 — 06:00",26 / 25 °C,Passing clouds,83%,1002 mbar,6 km/h,SE
"Monday, 24 August 2015, 06:00 — 12:00",33 / 25 °C,Passing clouds,68%,1005 mbar,9 km/h,S
"Monday, 24 August 2015, 12:00 — 18:00",37 / 33 °C,Clear,54%,1003 mbar,10 km/h,WSW
"Monday, 24 August 2015, 18:00 — 00:00",35 / 30 °C,Clear,67%,1003 mbar,4 km/h,W
"Tuesday, 25 August 2015, 00:00 — 06:00",30 / 28 °C,Clear,78%,1003 mbar,3 km/h,SSW
"Tuesday, 25 August 2015, 06:00 — 12:00",35 / 28 °C,Clear,68%,1004 mbar,8 km/h,WNW
"Tuesday, 25 August 2015, 12:00 — 18:00",38 / 34 °C,Passing clouds,50%,1001 mbar,10 km/h,W
"Tuesday, 25 August 2015, 18:00 — 00:00",34 / 31 °C,Clear,62%,1002 mbar,8 km/h,WSW
"Wednesday, 26 August 2015, 00:00 — 06:00",30 / 28 °C,Clear,75%,1002 mbar,3 km/h,W
"Wednesday, 26 August 2015, 06:00 — 12:00",36 / 28 °C,Clear,67%,1003 mbar,8 km/h,SSW
"Wednesday, 26 August 2015, 12:00 — 18:00",38 / 35 °C,Scattered clouds,56%,1002 mbar,11 km/h,WSW
"Wednesday, 26 August 2015, 18:00 — 00:00",34 / 32 °C,Clear,65%,1001 mbar,6 km/h,W
"Thursday, 27 August 2015, 00:00 — 06:00",32 / 30 °C,Clear,72%,1002 mbar,3 km/h,W
"Thursday, 27 August 2015, 06:00 — 12:00",37 / 32 °C,Scattered clouds,64%,1004 mbar,9 km/h,S
"Thursday, 27 August 2015, 12:00 — 18:00",38 / 36 °C,Scattered clouds,50%,1003 mbar,11 km/h,SSW
"Thursday, 27 August 2015, 18:00 — 00:00",35 / 28 °C,Passing clouds,65%,1004 mbar,11 km/h,NNW
"Friday, 28 August 2015, 00:00 — 06:00",28 / 26 °C,Passing clouds,72%,1004 mbar,6 km/h,SE
"Friday, 28 August 2015, 06:00 — 12:00",35 / 27 °C,Scattered clouds,58%,1006 mbar,5 km/h,W
"Friday, 28 August 2015, 12:00 — 18:00",38 / 35 °C,Passing clouds,40%,1004 mbar,9 km/h,WNW
"Friday, 28 August 2015, 18:00 — 00:00",35 / 29 °C,Clear,59%,1004 mbar,6 km/h,E
"Saturday, 29 August 2015, 00:00 — 06:00",29 / 28 °C,Clear,76%,1003 mbar,4 km/h,SSE
"Saturday, 29 August 2015, 06:00 — 12:00",36 / 28 °C,Clear,61%,1004 mbar,6 km/h,WNW
"Saturday, 29 August 2015, 12:00 — 18:00",38 / 36 °C,Scattered clouds,42%,1002 mbar,12 km/h,W
"Saturday, 29 August 2015, 18:00 — 00:00",35 / 31 °C,Passing clouds,59%,1002 mbar,6 km/h,WSW
"Sunday, 30 August 2015, 00:00 — 06:00",31 / 29 °C,Passing clouds,75%,1002 mbar,3 km/h,WSW
"Sunday, 30 August 2015, 06:00 — 12:00",36 / 30 °C,Scattered clouds,60%,1004 mbar,2 km/h,SW
"Sunday, 30 August 2015, 12:00 — 18:00",38 / 36 °C,Scattered clouds,46%,1001 mbar,12 km/h,W
"Sunday, 30 August 2015, 18:00 — 00:00",36 / 29 °C,Passing clouds,61%,1002 mbar,10 km/h,WNW
"Monday, 31 August 2015, 00:00 — 06:00",28 / 25 °C,Passing clouds,74%,1003 mbar,7 km/h,NE
"Monday, 31 August 2015, 06:00 — 12:00",35 / 31 °C,Clear,50%,1006 mbar,9 km/h,NNW
"Monday, 31 August 2015, 12:00 — 18:00",38 / 35 °C,Passing clouds,40%,1004 mbar,9 km/h,WNW
"Monday, 31 August 2015, 18:00 — 00:00",34 / 30 °C,Clear,60%,1003 mbar,5 km/h,NW
"Tuesday, 1 September 2015, 00:00 — 06:00",30 / 27 °C,Passing clouds,72%,1002 mbar,3 km/h,W
"Tuesday, 1 September 2015, 06:00 — 12:00",36 / 28 °C,Clear,64%,1003 mbar,7 km/h,W
"Tuesday, 1 September 2015, 12:00 — 18:00",39 / 34 °C,Scattered clouds,45%,1002 mbar,8 km/h,W
"Tuesday, 1 September 2015, 18:00 — 00:00",34 / 31 °C,Passing clouds,65%,1002 mbar,6 km/h,E
"Wednesday, 2 September 2015, 00:00 — 06:00",30 / 28 °C,Passing clouds,73%,1002 mbar,4 km/h,SSW
"Wednesday, 2 September 2015, 06:00 — 12:00",36 / 28 °C,Clear,65%,1003 mbar,5 km/h,SSW
"Wednesday, 2 September 2015, 12:00 — 18:00",38 / 35 °C,Scattered clouds,46%,1001 mbar,11 km/h,WSW
"Wednesday, 2 September 2015, 18:00 — 00:00",35 / 30 °C,Passing clouds,58%,1002 mbar,9 km/h,SW
"Thursday, 3 September 2015, 00:00 — 06:00",30 / 27 °C,Clear,77%,1003 mbar,5 km/h,SE
"Thursday, 3 September 2015, 06:00 — 12:00",34 / 27 °C,Clear,67%,1007 mbar,6 km/h,SSE
"Thursday, 3 September 2015, 12:00 — 18:00",37 / 30 °C,Passing clouds,47%,1006 mbar,12 km/h,WNW
"Thursday, 3 September 2015, 18:00 — 00:00",34 / 30 °C,Clear,58%,1007 mbar,4 km/h,W
"Friday, 4 September 2015, 00:00 — 06:00",29 / 26 °C,Clear,75%,1008 mbar,2 km/h,SSE
"Friday, 4 September 2015, 06:00 — 12:00",36 / 27 °C,Clear,61%,1011 mbar,3 km/h,SSW
"Friday, 4 September 2015, 12:00 — 18:00",37 / 36 °C,Scattered clouds,44%,1010 mbar,6 km/h,SSE
"Friday, 4 September 2015, 18:00 — 00:00",31 / 29 °C,Clear,67%,1009 mbar,2 km/h,SSE
"Saturday, 5 September 2015, 00:00 — 06:00",29 / 22 °C,Clear,71%,1009 mbar,3 km/h,WSW
"Saturday, 5 September 2015, 06:00 — 12:00",37 / 27 °C,Passing clouds,53%,1010 mbar,10 km/h,WSW
"Saturday, 5 September 2015, 12:00 — 18:00",38 / 35 °C,Clear,39%,1008 mbar,13 km/h,WSW
"Saturday, 5 September 2015, 18:00 — 00:00",35 / 30 °C,Clear,56%,1007 mbar,9 km/h,WSW
"Sunday, 6 September 2015, 00:00 — 06:00",30 / 25 °C,Clear,63%,1007 mbar,10 km/h,NNE
"Sunday, 6 September 2015, 06:00 — 12:00",34 / 26 °C,Scattered clouds,51%,1010 mbar,6 km/h,ENE
"Sunday, 6 September 2015, 12:00 — 18:00",37 / 34 °C,Passing clouds,39%,1008 mbar,11 km/h,W
"Sunday, 6 September 2015, 18:00 — 00:00",34 / 29 °C,Clear,54%,1007 mbar,2 km/h,W
"Monday, 7 September 2015, 00:00 — 06:00",29 / 26 °C,Clear,76%,1007 mbar,3 km/h,SSE
"Monday, 7 September 2015, 06:00 — 12:00",36 / 27 °C,Clear,53%,1008 mbar,7 km/h,WSW
